x_distance,y_distance,spl
-5.000000000000000000e+01,-5.000000000000000000e+01,1.430102999566398125e+02
-4.900000000000000000e+01,-5.000000000000000000e+01,1.430971529748737225e+02
-4.800000000000000000e+01,-5.000000000000000000e+01,1.431839700126913044e+02
-4.700000000000000000e+01,-5.000000000000000000e+01,1.432707130955727735e+02
-4.600000000000000000e+01,-5.000000000000000000e+01,1.433573419985232533e+02
-4.500000000000000000e+01,-5.000000000000000000e+01,1.434438141645877636e+02
-4.400000000000000000e+01,-5.000000000000000000e+01,1.435300846252287670e+02
-4.300000000000000000e+01,-5.000000000000000000e+01,1.436161059233466517e+02
-4.200000000000000000e+01,-5.000000000000000000e+01,1.437018280398148420e+02
-4.100000000000000000e+01,-5.000000000000000000e+01,1.437871983244958471e+02
-4.000000000000000000e+01,-5.000000000000000000e+01,1.438721614328026419e+02
-3.900000000000000000e+01,-5.000000000000000000e+01,1.439566592689708955e+02
-3.800000000000000000e+01,-5.000000000000000000e+01,1.440406309373082649e+02
-3.700000000000000000e+01,-5.000000000000000000e+01,1.441240127027875531e+02
-3.600000000000000000e+01,-5.000000000000000000e+01,1.442067379624474484e+02
-3.500000000000000000e+01,-5.000000000000000000e+01,1.442887372291568795e+02
-3.400000000000000000e+01,-5.000000000000000000e+01,1.443699381293820636e+02
-3.300000000000000000e+01,-5.000000000000000000e+01,1.444502654166676052e+02
-3.200000000000000000e+01,-5.000000000000000000e+01,1.445296410025999023e+02
-3.100000000000000000e+01,-5.000000000000000000e+01,1.446079840070587181e+02
-3.000000000000000000e+01,-5.000000000000000000e+01,1.446852108295774428e+02
-2.900000000000000000e+01,-5.000000000000000000e+01,1.447612352436186711e+02
-2.800000000000000000e+01,-5.000000000000000000e+01,1.448359685155259626e+02
-2.700000000000000000e+01,-5.000000000000000000e+01,1.449093195498283819e+02
-2.600000000000000000e+01,-5.000000000000000000e+01,1.449811950624494159e+02
-2.500000000000000000e+01,-5.000000000000000000e+01,1.450514997831990627e+02
-2.400000000000000000e+01,-5.000000000000000000e+01,1.451201366887060544e+02
-2.300000000000000000e+01,-5.000000000000000000e+01,1.451870072666714577e+02
-2.200000000000000000e+01,-5.000000000000000000e+01,1.452520118119936967e+02
-2.100000000000000000e+01,-5.000000000000000000e+01,1.453150497549293050e+02
-2.000000000000000000e+01,-5.000000000000000000e+01,1.453760200210104472e+02
-1.900000000000000000e+01,-5.000000000000000000e+01,1.454348214219473903e+02
-1.800000000000000000e+01,-5.000000000000000000e+01,1.454913530762023299e+02
-1.700000000000000000e+01,-5.000000000000000000e+01,1.455455148573394979e+02
-1.600000000000000000e+01,-5.000000000000000000e+01,1.455972078676441015e+02
-1.500000000000000000e+01,-5.000000000000000000e+01,1.456463349338733906e+02
-1.400000000000000000e+01,-5.000000000000000000e+01,1.456928011213671823e+02
-1.300000000000000000e+01,-5.000000000000000000e+01,1.457365142621249277e+02
-1.200000000000000000e+01,-5.000000000000000000e+01,1.457773854918639813e+02
-1.100000000000000000e+01,-5.000000000000000000e+01,1.458153297905340082e+02
-1.000000000000000000e+01,-5.000000000000000000e+01,1.458502665202918251e+02
-9.000000000000000000e+00,-5.000000000000000000e+01,1.458821199545613183e+02
-8.000000000000000000e+00,-5.000000000000000000e+01,1.459108197915322194e+02
-7.000000000000000000e+00,-5.000000000000000000e+01,1.459363016453073101e+02
-6.000000000000000000e+00,-5.000000000000000000e+01,1.459585075079030503e+02
-5.000000000000000000e+00,-5.000000000000000000e+01,1.459773861754532049e+02
-4.000000000000000000e+00,-5.000000000000000000e+01,1.459928936322676805e+02
-3.000000000000000000e+00,-5.000000000000000000e+01,1.460049933868538972e+02
-2.000000000000000000e+00,-5.000000000000000000e+01,1.460136567546160791e+02
-1.000000000000000000e+00,-5.000000000000000000e+01,1.460188630826949634e+02
0.000000000000000000e+00,-5.000000000000000000e+01,1.460205999132796251e+02
1.000000000000000000e+00,-5.000000000000000000e+01,1.460188630826949634e+02
2.000000000000000000e+00,-5.000000000000000000e+01,1.460136567546160791e+02
3.000000000000000000e+00,-5.000000000000000000e+01,1.460049933868538972e+02
4.000000000000000000e+00,-5.000000000000000000e+01,1.459928936322676805e+02
5.000000000000000000e+00,-5.000000000000000000e+01,1.459773861754532049e+02
6.000000000000000000e+00,-5.000000000000000000e+01,1.459585075079030503e+02
7.000000000000000000e+00,-5.000000000000000000e+01,1.459363016453073101e+02
8.000000000000000000e+00,-5.000000000000000000e+01,1.459108197915322194e+02
9.000000000000000000e+00,-5.000000000000000000e+01,1.458821199545613183e+02
1.000000000000000000e+01,-5.000000000000000000e+01,1.458502665202918251e+02
1.100000000000000000e+01,-5.000000000000000000e+01,1.458153297905340082e+02
1.200000000000000000e+01,-5.000000000000000000e+01,1.457773854918639813e+02
1.300000000000000000e+01,-5.000000000000000000e+01,1.457365142621249277e+02
1.400000000000000000e+01,-5.000000000000000000e+01,1.456928011213671823e+02
1.500000000000000000e+01,-5.000000000000000000e+01,1.456463349338733906e+02
1.600000000000000000e+01,-5.000000000000000000e+01,1.455972078676441015e+02
1.700000000000000000e+01,-5.000000000000000000e+01,1.455455148573394979e+02
1.800000000000000000e+01,-5.000000000000000000e+01,1.454913530762023299e+02
1.900000000000000000e+01,-5.000000000000000000e+01,1.454348214219473903e+02
2.000000000000000000e+01,-5.000000000000000000e+01,1.453760200210104472e+02
2.100000000000000000e+01,-5.000000000000000000e+01,1.453150497549293050e+02
2.200000000000000000e+01,-5.000000000000000000e+01,1.452520118119936967e+02
2.300000000000000000e+01,-5.000000000000000000e+01,1.451870072666714577e+02
2.400000000000000000e+01,-5.000000000000000000e+01,1.451201366887060544e+02
2.500000000000000000e+01,-5.000000000000000000e+01,1.450514997831990627e+02
