CMDLINE /usr/bin/python3 main.py
MEM 0.750000 1736311120.6077
MEM 32.800781 1736311120.7081
MEM 82.800781 1736311120.8084
MEM 224.414062 1736311120.9088
MEM 258.539062 1736311121.0092
MEM 308.414062 1736311121.1095
MEM 325.046875 1736311121.2098
MEM 338.171875 1736311121.3102
MEM 349.171875 1736311121.4105
MEM 359.921875 1736311121.5109
MEM 387.421875 1736311121.6111
MEM 406.664062 1736311121.7114
MEM 425.164062 1736311121.8118
MEM 448.832031 1736311121.9121
MEM 452.957031 1736311122.0125
MEM 456.832031 1736311122.1128
MEM 461.039062 1736311122.2131
MEM 468.507812 1736311122.3135
MEM 482.257812 1736311122.4138
MEM 492.632812 1736311122.5141
MEM 498.382812 1736311122.6145
MEM 507.007812 1736311122.7152
MEM 507.007812 1736311122.8158
MEM 507.007812 1736311122.9165
MEM 507.007812 1736311123.0169
MEM 507.007812 1736311123.1171
MEM 507.007812 1736311123.2174
MEM 507.007812 1736311123.3176
MEM 507.007812 1736311123.4179
MEM 507.007812 1736311123.5182
MEM 507.007812 1736311123.6185
MEM 507.007812 1736311123.7188
MEM 509.132812 1736311123.8191
MEM 509.132812 1736311123.9194
MEM 512.382812 1736311124.0198
MEM 911.882812 1736311124.1221
MEM 911.882812 1736311124.2235
MEM 1375.863281 1736311124.3240
MEM 1106.347656 1736311124.4251
MEM 1524.753906 1736311124.5262
MEM 1616.003906 1736311124.6265
MEM 912.207031 1736311124.7269
MEM 913.582031 1736311124.8272
MEM 928.582031 1736311124.9276
MEM 942.449219 1736311125.0279
MEM 960.699219 1736311125.1282
MEM 965.199219 1736311125.2285
MEM 980.324219 1736311125.3288
MEM 965.898438 1736311125.4291
MEM 965.898438 1736311125.5294
MEM 965.898438 1736311125.6297
MEM 1229.898438 1736311125.7307
MEM 1369.898438 1736311125.8325
MEM 2036.148438 1736311125.9337
MEM 1501.582031 1736311126.0341
MEM 1715.207031 1736311126.1353
MEM 2457.226562 1736311126.2358
MEM 973.757812 1736311126.3361
MEM 973.882812 1736311126.4364
MEM 999.507812 1736311126.5367
MEM 1016.382812 1736311126.6370
MEM 1019.632812 1736311126.7373
MEM 1019.882812 1736311126.8377
MEM 1034.757812 1736311126.9380
MEM 1034.757812 1736311127.0383
MEM 1034.757812 1736311127.1386
MEM 1035.882812 1736311127.2389
MEM 1432.757812 1736311127.3415
MEM 1432.757812 1736311127.4429
MEM 1885.910156 1736311127.5434
MEM 1653.464844 1736311127.6446
MEM 2088.871094 1736311127.7455
MEM 1930.632812 1736311127.8458
MEM 1035.750000 1736311127.9462
MEM 1051.875000 1736311128.0465
MEM 1053.250000 1736311128.1468
MEM 1069.250000 1736311128.2471
MEM 1073.000000 1736311128.3474
MEM 1087.875000 1736311128.4476
MEM 1088.000000 1736311128.5479
MEM 1088.000000 1736311128.6483
MEM 1088.000000 1736311128.7486
MEM 1089.125000 1736311128.8490
MEM 1486.125000 1736311128.9508
MEM 1745.000000 1736311129.0522
MEM 2095.601562 1736311129.1536
MEM 1879.421875 1736311129.2545
MEM 1979.078125 1736311129.3561
MEM 2566.953125 1736311129.4580
MEM 1262.417969 1736311129.5584
MEM 1089.457031 1736311129.6588
MEM 1105.582031 1736311129.7591
MEM 1107.207031 1736311129.8595
MEM 1122.957031 1736311129.9598
MEM 1126.457031 1736311130.0601
MEM 1126.582031 1736311130.1604
MEM 1141.457031 1736311130.2607
MEM 1141.457031 1736311130.3610
MEM 1141.457031 1736311130.4613
MEM 1141.582031 1736311130.5617
MEM 1404.332031 1736311130.6631
MEM 1539.332031 1736311130.7656
MEM 1711.582031 1736311130.8673
MEM 2111.152344 1736311130.9687
MEM 1828.339844 1736311131.0691
MEM 2415.503906 1736311131.1705
MEM 1523.593750 1736311131.2708
MEM 1142.632812 1736311131.3712
MEM 1158.757812 1736311131.4716
MEM 1159.257812 1736311131.5718
MEM 1175.882812 1736311131.6721
MEM 1177.382812 1736311131.7725
MEM 1180.257812 1736311131.8729
MEM 1195.132812 1736311131.9734
MEM 1195.132812 1736311132.0738
MEM 1195.132812 1736311132.1742
MEM 1195.132812 1736311132.2745
MEM 1196.132812 1736311132.3748
MEM 1592.882812 1736311132.4775
MEM 1592.882812 1736311132.5790
MEM 2008.062500 1736311132.6793
MEM 1822.125000 1736311132.7806
MEM 2286.156250 1736311132.8816
MEM 1989.957031 1736311132.9821
MEM 1196.035156 1736311133.0825
MEM 1212.035156 1736311133.1828
MEM 1212.285156 1736311133.2831
MEM 1229.285156 1736311133.3833
MEM 1232.910156 1736311133.4836
MEM 1248.035156 1736311133.5840
MEM 1248.035156 1736311133.6842
MEM 1248.035156 1736311133.7846
MEM 1248.035156 1736311133.8849
MEM 1248.910156 1736311133.9852
MEM 1646.035156 1736311134.0874
MEM 1783.035156 1736311134.1887
MEM 2180.707031 1736311134.2900
MEM 2027.960938 1736311134.3913
MEM 2482.242188 1736311134.4927
MEM 1664.214844 1736311134.5934
MEM 1249.121094 1736311134.6937
MEM 1265.121094 1736311134.7940
MEM 1281.621094 1736311134.8942
MEM 1282.996094 1736311134.9945
MEM 1286.121094 1736311135.0949
MEM 1300.996094 1736311135.1952
MEM 1300.996094 1736311135.2957
MEM 1300.996094 1736311135.3961
MEM 1300.996094 1736311135.4964
MEM 1302.121094 1736311135.5968
MEM 1699.121094 1736311135.6993
MEM 1699.121094 1736311135.8011
MEM 2190.117188 1736311135.9015
MEM 1895.164062 1736311136.0031
MEM 2336.945312 1736311136.1041
MEM 2700.503906 1736311136.2045
MEM 1302.074219 1736311136.3048
MEM 1302.074219 1736311136.4051
MEM 1318.074219 1736311136.5054
MEM 1319.824219 1736311136.6059
MEM 1335.449219 1736311136.7063
MEM 1339.074219 1736311136.8067
MEM 1354.074219 1736311136.9070
MEM 1354.074219 1736311137.0072
MEM 1354.074219 1736311137.1076
MEM 1354.074219 1736311137.2079
MEM 1354.074219 1736311137.3101
MEM 1620.699219 1736311137.4108
MEM 1752.074219 1736311137.5121
MEM 2340.449219 1736311137.6133
MEM 2470.367188 1736311137.7137
MEM 1752.242188 1736311137.8140
MEM 2655.742188 1736311137.9154
MEM 1600.800781 1736311138.0158
MEM 1355.371094 1736311138.1162
MEM 1371.246094 1736311138.2164
MEM 1372.496094 1736311138.3167
MEM 1388.746094 1736311138.4170
MEM 1392.496094 1736311138.5173
MEM 1407.621094 1736311138.6176
MEM 1407.621094 1736311138.7179
MEM 1407.621094 1736311138.8183
MEM 1407.621094 1736311138.9186
MEM 1408.621094 1736311139.0189
MEM 1805.621094 1736311139.1214
MEM 1805.621094 1736311139.2232
MEM 2296.574219 1736311139.3236
MEM 2018.246094 1736311139.4248
MEM 2483.652344 1736311139.5257
MEM 2220.835938 1736311139.6261
MEM 1408.781250 1736311139.7264
MEM 1424.656250 1736311139.8268
MEM 1424.656250 1736311139.9271
MEM 1441.531250 1736311140.0274
MEM 1445.281250 1736311140.1279
MEM 1445.531250 1736311140.2282
MEM 1460.531250 1736311140.3287
