CMDLINE /usr/bin/python3 main.py
MEM 0.625000 1736310952.1414
MEM 32.812500 1736310952.2418
MEM 51.312500 1736310952.3421
MEM 94.312500 1736310952.4425
MEM 186.812500 1736310952.5428
MEM 227.039062 1736310952.6431
MEM 252.289062 1736310952.7435
MEM 290.789062 1736310952.8438
MEM 304.664062 1736310952.9441
MEM 322.546875 1736310953.0445
MEM 331.296875 1736310953.1450
MEM 339.046875 1736310953.2453
MEM 350.671875 1736310953.3456
MEM 359.546875 1736310953.4461
MEM 378.296875 1736310953.5465
MEM 393.296875 1736310953.6468
MEM 404.914062 1736310953.7497
MEM 418.664062 1736310953.8502
MEM 431.800781 1736310953.9505
MEM 447.050781 1736310954.0509
MEM 450.925781 1736310954.1512
MEM 454.675781 1736310954.2515
MEM 455.425781 1736310954.3518
MEM 464.093750 1736310954.4524
MEM 464.093750 1736310954.5530
MEM 466.488281 1736310954.6535
MEM 483.796875 1736310954.7540
