CMDLINE /usr/bin/python3 main.py
MEM 0.625000 1736313380.6478
MEM 32.726562 1736313380.7481
MEM 82.226562 1736313380.8484
MEM 222.722656 1736313380.9486
MEM 254.597656 1736313381.0489
MEM 300.722656 1736313381.1493
MEM 320.457031 1736313381.2496
MEM 330.082031 1736313381.3499
MEM 340.582031 1736313381.4501
MEM 350.582031 1736313381.5505
MEM 359.957031 1736313381.6508
MEM 384.332031 1736313381.7511
MEM 407.832031 1736313381.8521
MEM 421.582031 1736313381.9523
MEM 435.761719 1736313382.0526
MEM 452.886719 1736313382.1529
MEM 456.886719 1736313382.2532
MEM 458.511719 1736313382.3538
MEM 458.761719 1736313382.4542
MEM 465.035156 1736313382.5546
MEM 465.035156 1736313382.6552
MEM 465.035156 1736313382.7555
MEM 465.035156 1736313382.8559
MEM 465.035156 1736313382.9562
MEM 465.035156 1736313383.0564
MEM 465.035156 1736313383.1567
MEM 465.035156 1736313383.2569
MEM 465.035156 1736313383.3574
MEM 465.035156 1736313383.4577
MEM 465.035156 1736313383.5580
MEM 470.191406 1736313383.6583
MEM 481.191406 1736313383.7587
MEM 493.816406 1736313383.8590
MEM 501.691406 1736313383.9594
MEM 513.566406 1736313384.0597
MEM 518.566406 1736313384.1602
MEM 520.816406 1736313384.2606
MEM 522.441406 1736313384.3611
MEM 1112.941406 1736313384.4621
MEM 1627.316406 1736313384.5635
MEM 1714.566406 1736313384.6649
MEM 2506.941406 1736313384.7655
MEM 2815.835938 1736313384.8669
MEM 3723.960938 1736313384.9683
MEM 2839.574219 1736313385.0688
MEM 603.558594 1736313385.1697
MEM 1317.683594 1736313385.2720
MEM 1714.683594 1736313385.3748
MEM 1994.933594 1736313385.4763
MEM 2237.687500 1736313385.5777
MEM 3043.187500 1736313385.6789
MEM 3779.312500 1736313385.7803
MEM 2877.722656 1736313385.8807
MEM 566.917969 1736313385.9811
MEM 1317.707031 1736313386.0835
MEM 1714.707031 1736313386.1858
MEM 2108.332031 1736313386.2863
MEM 2318.968750 1736313386.3876
MEM 3097.843750 1736313386.4888
MEM 3975.343750 1736313386.5902
MEM 1960.003906 1736313386.6906
MEM 920.652344 1736313386.7909
MEM 526.066406 1736313386.8912
MEM 526.066406 1736313386.9914
MEM 554.941406 1736313387.0917
MEM 573.816406 1736313387.1920
MEM 578.191406 1736313387.2925
MEM 579.441406 1736313387.3930
MEM 594.566406 1736313387.4932
MEM 579.968750 1736313387.5935
MEM 579.968750 1736313387.6938
MEM 587.343750 1736313387.7941
MEM 1381.593750 1736313387.8964
MEM 1778.218750 1736313387.9987
MEM 2213.968750 1736313388.1000
MEM 2658.152344 1736313388.2012
MEM 3645.027344 1736313388.3025
MEM 3304.753906 1736313388.4029
MEM 947.105469 1736313388.5033
MEM 1381.527344 1736313388.6058
MEM 1778.402344 1736313388.7081
MEM 2219.027344 1736313388.8092
MEM 2627.480469 1736313388.9105
MEM 3660.855469 1736313389.0114
MEM 3214.984375 1736313389.1118
MEM 795.335938 1736313389.2121
MEM 1381.539062 1736313389.3145
MEM 1778.539062 1736313389.4166
MEM 2221.414062 1736313389.5179
MEM 2659.207031 1736313389.6191
MEM 3660.457031 1736313389.7201
MEM 3148.367188 1736313389.8205
MEM 984.601562 1736313389.9208
MEM 984.601562 1736313390.0211
MEM 613.265625 1736313390.1214
MEM 629.390625 1736313390.2216
MEM 630.765625 1736313390.3219
MEM 633.890625 1736313390.4222
MEM 648.765625 1736313390.5225
MEM 648.765625 1736313390.6229
MEM 648.765625 1736313390.7233
MEM 648.765625 1736313390.8236
MEM 991.765625 1736313390.9247
MEM 1536.140625 1736313391.0260
MEM 1840.765625 1736313391.1277
MEM 2616.515625 1736313391.2288
MEM 3029.136719 1736313391.3297
MEM 4000.011719 1736313391.4309
MEM 2331.687500 1736313391.5313
MEM 928.695312 1736313391.6323
MEM 1468.820312 1736313391.7334
MEM 1840.570312 1736313391.8354
MEM 2464.195312 1736313391.9366
MEM 2885.847656 1736313392.0380
MEM 3880.722656 1736313392.1394
MEM 2761.796875 1736313392.2398
MEM 774.031250 1736313392.3408
MEM 1443.656250 1736313392.4431
MEM 1840.656250 1736313392.5456
MEM 2417.906250 1736313392.6467
MEM 2838.281250 1736313392.7480
MEM 3859.906250 1736313392.8494
MEM 2842.441406 1736313392.9498
MEM 1047.050781 1736313393.0501
MEM 1047.050781 1736313393.1503
MEM 666.214844 1736313393.2506
MEM 683.089844 1736313393.3509
MEM 684.714844 1736313393.4512
MEM 687.589844 1736313393.5515
MEM 702.464844 1736313393.6518
MEM 702.464844 1736313393.7522
MEM 702.464844 1736313393.8525
MEM 703.464844 1736313393.9528
MEM 1241.839844 1736313394.0543
MEM 1796.589844 1736313394.1557
MEM 1985.214844 1736313394.2567
MEM 2388.074219 1736313394.3583
MEM 3363.949219 1736313394.4594
MEM 4246.699219 1736313394.5607
MEM 1742.859375 1736313394.6611
MEM 1239.507812 1736313394.7624
MEM 1813.757812 1736313394.8637
MEM 1997.507812 1736313394.9649
MEM 2417.863281 1736313395.0663
MEM 3389.613281 1736313395.1676
MEM 4269.613281 1736313395.2689
MEM 1682.304688 1736313395.3694
MEM 1219.296875 1736313395.4702
MEM 1737.546875 1736313395.5715
MEM 1894.546875 1736313395.6728
MEM 2423.109375 1736313395.7732
MEM 3201.078125 1736313395.8744
MEM 4137.203125 1736313395.9757
MEM 2077.433594 1736313396.0762
MEM 1100.550781 1736313396.1765
MEM 708.718750 1736313396.2768
MEM 720.468750 1736313396.3770
MEM 736.968750 1736313396.4773
MEM 740.718750 1736313396.5776
MEM 755.718750 1736313396.6778
MEM 755.718750 1736313396.7780
MEM 755.718750 1736313396.8784
MEM 755.718750 1736313396.9787
MEM 756.718750 1736313397.0790
MEM 1396.843750 1736313397.1804
MEM 1772.093750 1736313397.2817
MEM 1947.843750 1736313397.3831
MEM 2363.074219 1736313397.4837
MEM 3245.941406 1736313397.5849
MEM 4112.191406 1736313397.6862
MEM 2438.992188 1736313397.7869
MEM 860.250000 1736313397.8886
MEM 1550.875000 1736313397.9911
MEM 1947.875000 1736313398.0939
MEM 2311.500000 1736313398.1953
MEM 2679.468750 1736313398.2968
MEM 3457.593750 1736313398.3981
MEM 4200.593750 1736313398.4995
MEM 2196.996094 1736313398.5999
MEM 1150.277344 1736313398.7007
MEM 1704.652344 1736313398.8021
MEM 1947.777344 1736313398.9035
MEM 2438.765625 1736313399.0040
