CMDLINE /usr/bin/python3 main.py
MEM 0.500000 1736311059.3181
MEM 32.937500 1736311059.4186
MEM 82.812500 1736311059.5190
MEM 224.562500 1736311059.6195
MEM 258.062500 1736311059.7200
MEM 308.437500 1736311059.8202
MEM 325.109375 1736311059.9205
MEM 338.484375 1736311060.0208
MEM 348.484375 1736311060.1211
MEM 359.734375 1736311060.2214
MEM 387.109375 1736311060.3217
MEM 406.585938 1736311060.4251
MEM 425.835938 1736311060.5254
MEM 448.937500 1736311060.6257
MEM 453.812500 1736311060.7260
MEM 457.062500 1736311060.8263
MEM 464.683594 1736311060.9266
MEM 466.058594 1736311061.0270
MEM 466.058594 1736311061.1273
MEM 0.000000 1736311061.2276
